SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BRED,YEARFOAL
2023,Y,23FTJULYYR,2023-07-11,1,1,172,172,,,,,2022-02-17,1,DKB,F,,Y,,,KY,CONNECT,CONNECT,SAPPHIRE KITTEN,SAPPHIRE KITTEN,KITTEN'S JOY,KITTEN'S JOY,,,,,,,,FRANKFORT PARK FARM AGENT,,,,NOT SOLD,,,,42000,USD,https://vimeo.com/841703077?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,173,173,,,,,2022-02-21,1,DKB,F,,Y,,,KY,MUNNINGS,MUNNINGS,SCATTERED RAIN,SCATTERED RAIN,SCAT DADDY,SCAT DADDY,,,,,,,,GREENFIELD FARMS AGENT I,,,,LUGAMO RACING STABLE,,,,175000,USD,https://vimeo.com/842036952?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,174,174,,,,,2022-04-09,1,B,F,,Y,,,KY,AUTHENTIC,AUTHENTIC,SCENT OF SUMMER,SCENT OF SUMMER,ROCK HARD TEN,ROCK HARD TEN,,,,,,,,TAYLOR MADE SALES AGENCY AGENT FOR SPENDTHRIFT FARM LLC,,,,ALEX & JOANN LIEBLONG,,,,475000,USD,https://youtu.be/tYS0mDPjRls,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,175,175,,,,,2022-03-14,1,CH,C,,Y,,,KY,GOOD MAGIC,GOOD MAGIC,SCOLDING,SCOLDING,CARPE DIEM,CARPE DIEM,,,,,,,,BLANDFORD STUD (PADRAIG CAMPION) AGENT,,,,BOARDSHORTS STABLES LLC,,,,370000,USD,https://youtu.be/7mXRusxMAPE,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,176,176,,,,,2022-02-14,1,B,F,,Y,,,KY,GOLDENCENTS,GOLDENCENTS,SEA DIVA,SEA DIVA,MIDSHIPMAN,MIDSHIPMAN,,,,,,,,HIGHGATE SALES AGENT III,,,,JUSTIN WOJCZYNSKI,,,,35000,USD,https://vimeo.com/843550540?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,177,177,,,,,2022-03-18,1,B,C,,Y,,,KY,KANTHAROS,KANTHAROS,SEAGRASS,SEAGRASS,QUALITY ROAD,QUALITY ROAD,,,,,,,,STUART MORRIS AGENT II,,,,NOT SOLD,,,,65000,USD,https://vimeo.com/843440838?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,178,178,,,,,2022-02-11,1,CH,F,,Y,,,PA,IMPROBABLE,IMPROBABLE,SEANCHAI,SEANCHAI,ENGLISH CHANNEL,ENGLISH CHANNEL,,,,,,,,WARRENDALE SALES AGENT III,,,,NOT SOLD,,,,90000,USD,https://vimeo.com/843392812?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,179,179,,,,,2022-01-21,1,DKB,C,,Y,,,KY,DAREDEVIL,DAREDEVIL,SEASONED WARRIOR,SEASONED WARRIOR,MAJESTIC WARRIOR,MAJESTIC WARRIOR,,,,,,,,PARAMOUNT SALES AGENT VI,,,,GREGORY F MARTIN AGENT,,,,37000,USD,https://vimeo.com/843523566?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,180,180,,,,,2022-03-30,1,CH,C,,Y,,,ON,VIOLENCE,VIOLENCE,SEEK A STAR,SEEK A STAR,SMART STRIKE,SMART STRIKE,,,,,,,,CARA BLOODSTOCK AGENT FOR SAINTSBURY FARMS (JAY & CHRISTINE HAYDEN),,,,DEW SWEEPERS III LLC,,,,80000,USD,https://vimeo.com/842676717?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,181,181,,,,,2022-01-26,1,GRR,C,,Y,,,KY,LIAM'S MAP,LIAM'S MAP,SEND ME ON MY WAY,SEND ME ON MY WAY,TIZNOW,TIZNOW,,,,,,,,LANE'S END AGENT,,,,SCANLON TRAINING & SALES,,,,75000,USD,https://vimeo.com/841370107?share=copy,,,TB,2022
