SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATE SALE,BREED,YEARFOAL
2023,Y,23FTOCTYR,2023-10-26,1,4,1320,1320,,,2022-01-30,1,B,C,,Y,,,KY,MACLEAN'S MUSIC,MACLEAN'S MUSIC,SPA TREATMENT,SPA TREATMENT,BERNARDINI,BERNARDINI,,,,,,,BLAKE-ALBINA THOROUGHBRED SERVICES LLC AGENT II,,,,OUT,,,,0,,,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1321,1321,,,2022-03-25,1,B,F,,Y,,,KY,CONNECT,CONNECT,SPEAK BRILEY,SPEAK BRILEY,CLASSIC ALLIANCE,CLASSIC ALLIANCE,,,,,,,SHAWHAN PLACE LLC AGENT II,,,,YOVAN JUAN SAMARDZICH,,,,15000,,,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1322,1322,,,2022-01-24,1,B,C,,Y,,,KY,WAR FRONT,WAR FRONT,SPECIAL THANKS,SPECIAL THANKS,BROKEN VOW,BROKEN VOW,,,,,,,BLUEWATER SALES LLC AGENT XV,,,,OUT,,,,0,,,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1323,1323,,,2022-03-05,1,CH,F,,Y,,,KY,OMAHA BEACH,OMAHA BEACH,SPEIGHTSY HEART,SPEIGHTSY HEART,SPEIGHTSTOWN,SPEIGHTSTOWN,,,,,,,BROOKDALE SALES AGENT,,,,OUT,,,,0,,,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1324,1324,,,2022-04-13,1,CH,C,,Y,,,INDIANA,BUCCHERO,BUCCHERO,SPELLCHICK,SPELLCHICK,ALPHABET SOUP,ALPHABET SOUP,,,,,,,SCOTT MALLORY AGENT I,,,,MIKE MORRISON AGT.,,,,19000,,https://vimeo.com/875523994?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1325,1325,,,2022-03-04,1,B,C,,Y,,,KY,AUDIBLE,AUDIBLE,SPELLING AGAIN,SPELLING AGAIN,AWESOME AGAIN,AWESOME AGAIN,,,,,,,TAYLOR MADE SALES AGENCY AGENT XXX,,,,BARRY BERKELHAMMER AGENT,,,,40000,,https://youtu.be/LC3_ZHrUODc,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1326,1326,,,2022-03-26,1,B,F,,Y,,,KY,INSTILLED REGARD,INSTILLED REGARD,SPIRIT OF NIKE,SPIRIT OF NIKE,INVASOR (ARG),INVASOR (ARG),,,,,,,TRACKSIDE FARM (TOM EVANS) AGENT VI,,,,NOT SOLD,,,,1000,,https://vimeo.com/875524322?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1327,1327,,,2022-04-29,1,CH,C,,Y,,,MD,CLASSIC EMPIRE,CLASSIC EMPIRE,SPOOKY TOOTH,SPOOKY TOOTH,GHOSTZAPPER,GHOSTZAPPER,,,,,,,VINERY SALES AGENT XXXIX,,,,OUT,,,,0,,,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1328,1328,,,2022-05-26,1,B,C,,Y,,,KY,ARMY MULE,ARMY MULE,SPRINGSIDE,SPRINGSIDE,AWESOME AGAIN,AWESOME AGAIN,,,,,,,HILL 'N' DALE AT XALAPA AGENT,,,,TOM MCCROCKLIN AGENT,,,,85000,,https://vimeo.com/874530452?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1329,1329,,,2022-02-16,1,B,F,,Y,,,FL,GIRVIN,GIRVIN,SPUN BEAUTY,SPUN BEAUTY,HARD SPUN,HARD SPUN,,,,,,,AIRDRIE STUD RAISED & OFFERED,,,,SOLIS/LITT,,,,190000,,https://vimeo.com/873828091,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1330,1330,,,2022-03-02,1,DKB,C,,Y,,,KY,MALIBU MOON,MALIBU MOON,STAMP,STAMP,WAR FRONT,WAR FRONT,,,,,,,C & S THOROUGHBREDS AGENT,,,,ROBERT MEIER,,,,15000,,,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1331,1331,,,2022-04-18,1,B,F,,Y,,,KY,JUSTIFY,JUSTIFY,STARLESS NIGHT,STARLESS NIGHT,GRAND SLAM,GRAND SLAM,,,,,,,LEDGELANDS LLC AGENT FOR TWIN OAKS BLOODSTOCK LLC,,,,NOT SOLD,,,,190000,,https://vimeo.com/869237081?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1332,1332,,,2022-03-06,1,DKB,C,,Y,,,NY,TOM'S D'ETAT,TOM'S D'ETAT,STARRY ROSE,STARRY ROSE,MACLEAN'S MUSIC,MACLEAN'S MUSIC,,,,,,,EATON SALES AGENT,,,,LUCAN BLOODSTOCK AGENT,,,,80000,,,,,T,2022
