SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CONSLNAME,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2023,Y,23SARAUG,8/7/2023,1,1,30,30,,,,,3/23/2022,1,DKB,C,,Y,,,KY,NOT THIS TIME,NOT THIS TIME,DARK BEFORE DAWN,DARK BEFORE DAWN,GHOSTZAPPER,HUNTER VALLEY FARM AGENT,,,,,,,,,,,,BRADLEY THOROUGHBREDS AGT FOR RODEO CREEK RACING LLC,,,,400000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,31,31,,,,,5/7/2022,1,CH,F,,Y,,,ON,GOOD MAGIC,GOOD MAGIC,DESIGNER LEGS,DESIGNER LEGS,GRAEME HALL,CARA BLOODSTOCK AGENT FOR SAINTSBURY FARMS (JAY & CHRISTINE HAYDEN),,,,,,,,,,,,NOT SOLD,,,,115000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,32,32,,,,,4/20/2022,1,B,F,,Y,,,KY,GOOD MAGIC,GOOD MAGIC,DEVIOUS INTENT,DEVIOUS INTENT,DIXIE UNION,LEGACY BLOODSTOCK AGENT I,,,,,,,,,,,,SOLIS/LITT,,,,325000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,33,33,,,,,2/28/2022,1,B,F,,Y,,,KY,GUN RUNNER,GUN RUNNER,DIVINE DAWN,DIVINE DAWN,DIVINE PARK,GAINESWAY AGENT VIII,,,,,,,,,,,,LAUREN CARLISLE AGT,,,,850000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,34,34,,,,,2/18/2022,1,DKB,F,,Y,,,KY,NOT THIS TIME,NOT THIS TIME,DREAMS TO REALITY,DREAMS TO REALITY,LOOKIN AT LUCKY,PARAMOUNT SALES AGENT VIII,,,,,,,,,,,,NOT SOLD,,,,285000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,35,35,,,,,4/1/2022,1,B,C,,Y,,,KY,TAPIT,TAPIT,DURABLE GOODS,DURABLE GOODS,MEDAGLIA D'ORO,ELITE AGENT,,,,,,,,,,,,PIN OAK STUD,,,,350000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,36,36,,,,,2/6/2022,1,DKB,C,,Y,,,VA,CONSTITUTION,CONSTITUTION,ELLYB,ELLYB,PIONEEROF THE NILE,VINERY SALES AGENT,,,,,,,,,,,,BELLADONNA RACING VI CHERIE DEVAUX,,,,350000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,37,37,,,,,3/20/2022,1,DKB,C,,Y,,,FA,GUNNEVERA,GUNNEVERA,EMOTIONAL ROAR,EMOTIONAL ROAR,ROAR OF THE TIGER,MACHMER HALL SALES AGENT IV,,,,,,,,,,,,DIRECT DIAL BLOODSTOCK,,,,255000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,38,38,,,,,5/4/2022,1,CH,F,,Y,,,KY,CURLIN,CURLIN,ENCHANTED ROCK,ENCHANTED ROCK,GIANT'S CAUSEWAY,ELITE AGENT,,,,,,,,,,,,MIKE RYAN AGENT,,,,450000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,39,39,,,,,2/14/2022,1,B,F,,Y,,,KY,MORE THAN READY,MORE THAN READY,EPISCOPAL,EPISCOPAL,CARPE DIEM,TAYLOR MADE SALES AGENCY AGENT XV,,,,,,,,,,,,NOT SOLD,,,,275000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,40,40,,,,,2/22/2022,1,B,F,,Y,,,KY,LIAM'S MAP,LIAM'S MAP,ESTORIL,ESTORIL,INTO MISCHIEF,SUMMERFIELD (FRANCIS & BARBARA VANLANGENDONCK) AGENT,,,,,,,,,,,,OUT,,,,0,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,41,41,,,,,4/24/2022,1,B,F,,Y,,,KY,TWIRLING CANDY,TWIRLING CANDY,EUROPEAN UNION,EUROPEAN UNION,SUCCESSFUL APPEAL,MULHOLLAND SPRINGS AGENT II,,,,,,,,,,,,NOT SOLD,,,,140000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,42,42,,,,,4/12/2022,1,B,C,,Y,,,KY,WAR OF WILL,WAR OF WILL,EXCUSES BEGONE,EXCUSES BEGONE,MEDAGLIA D'ORO,TAYLOR MADE SALES AGENCY AGENT FOR DJ STABLES LLC GRADUATE,,,,,,,,,,,,MUIR HUT STABLES LLC,,,,380000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,43,43,,,,,2/23/2022,1,CH,C,,Y,,,KY,CURLIN,CURLIN,FARRELL,FARRELL,MALIBU MOON,TAYLOR MADE SALES AGENCY AGENT XVII,,,,,,,,,,,,NOT SOLD,,,,500000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,44,44,,,,,1/24/2022,1,B,F,,Y,,,KY,CITY OF LIGHT,CITY OF LIGHT,FASCINATE,FASCINATE,CURLIN,INDIAN CREEK AGENT,,,,,,,,,,,,OUT,,,,0,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,45,45,,,,,4/11/2022,1,GRR,F,,Y,,,KY,BLAME,BLAME,FASTBRIDLED,FASTBRIDLED,UNBRIDLED'S SONG,MILL RIDGE SALES AGENT,,,,,,,,,,,,NOT SOLD,,,,120000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,46,46,,,,,3/20/2022,1,CH,C,,Y,,,KY,GUN RUNNER,GUN RUNNER,FLAG DAY,FLAG DAY,GIANT'S CAUSEWAY,DENALI STUD AGENT III,,,,,,,,,,,,NOT SOLD,,,,725000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,47,47,,,,,3/13/2022,1,B,C,,Y,,,KY,CITY OF LIGHT,CITY OF LIGHT,FLY TIME,FLY TIME,MR SPEAKER,LANE'S END AGENT,,,,,,,,,,,,BC STABLES LLC,,,,650000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,48,48,,,,,3/22/2022,1,CH,F,,Y,,,KY,GOOD MAGIC,GOOD MAGIC,FOREST GAMBLE,FOREST GAMBLE,FOREST WILDCAT,HILL 'N' DALE AT XALAPA AGENT,,,,,,,,,,,,ARNMORE THOROUGHBREDS LLC,,,,600000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,49,49,,,,,3/13/2022,1,GRR,C,,Y,,,KY,QUALITY ROAD,QUALITY ROAD,FROLIC'S DREAM,FROLIC'S DREAM,SMOKE GLACKEN,BEDOUIN BLOODSTOCK AGENT,,,,,,,,,,,,DONATO LANNI AGENT FOR SF/STARLIGHT/MADAKET,,,,650000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,50,50,,,,,2/10/2022,1,B,F,,Y,,,KY,UNCLE MO,UNCLE MO,FULL SWING,FULL SWING,VERRAZANO,HUNTER VALLEY FARM AGENT,,,,,,,,,,,,NOT SOLD,,,,250000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,51,51,,,,,3/23/2022,1,B,F,,Y,,,FA,UNCLE MO,UNCLE MO,GABRIELLESTOBLAME,GABRIELLESTOBLAME,BLAME,GAINESWAY AGENT FOR BRIDLEWOOD FARM,,,,,,,,,,,,OUT,,,,0,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,52,52,,,,,3/21/2022,1,DKB,C,,Y,,,KY,INSTAGRAND,INSTAGRAND,GARDEN DISTRICT,GARDEN DISTRICT,DIXIE UNION,FOUR STAR SALES AGENT,,,,,,,,,,,,OUT,,,,0,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,53,53,,,,,4/2/2022,1,B,C,,Y,,,KY,PRACTICAL JOKE,PRACTICAL JOKE,GLAD YOUR BACK,GLAD YOUR BACK,SPEIGHTSTOWN,PARAMOUNT SALES AGENT VII,,,,,,,,,,,,ZD HORSE RACING AND MGMT.,,,,250000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,54,54,,,,,5/3/2022,1,B,F,,Y,,,KY,OSCAR PERFORMANCE,OSCAR PERFORMANCE,GOING DAY,GOING DAY,DAYLAMI (IRE),MILL RIDGE SALES AGENT,,,,,,,,,,,,GEORGE T RACING,,,,235000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,55,55,,,,,2/12/2022,1,B,C,,Y,,,ON,MACLEAN'S MUSIC,MACLEAN'S MUSIC,GOLDEN AMBER,GOLDEN AMBER,GEMOLOGIST,CARA BLOODSTOCK AGENT FOR SAINTSBURY FARMS (JAY & CHRISTINE HAYDEN),,,,,,,,,,,,STONESTREET STABLES LLC,,,,400000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,56,56,,,,,3/27/2022,1,CH,C,,Y,,,KY,AUTHENTIC,AUTHENTIC,GOLDEN DOMER,GOLDEN DOMER,QUALITY ROAD,FOUR STAR SALES AGENT FOR SPENDTHRIFT FARM LLC,,,,,,,,,,,,DONATO LANNI AGENT FOR SF/STARLIGHT/MADAKET,,,,875000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,57,57,,,,,4/4/2022,1,CH,F,,Y,,,KY,MUNNINGS,MUNNINGS,GOLD MEDAL DANCER,GOLD MEDAL DANCER,MEDAGLIA D'ORO,BEDOUIN BLOODSTOCK AGENT II,,,,,,,,,,,,TOM MCCROCKLIN AGENT FOR CHAMPION EQUINE,,,,775000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,58,58,,,,,2/13/2022,1,B,F,,Y,,,KY,MACLEAN'S MUSIC,MACLEAN'S MUSIC,GRAN CHERRY,GRAN CHERRY,FIRST DUDE,TAYLOR MADE SALES AGENCY AGENT LIX,,,,,,,,,,,,NOT SOLD,,,,120000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,59,59,,,,,4/3/2022,1,CH,C,,Y,,,KY,TAPIT,TAPIT,GRANNY MC'S KITTEN,GRANNY MC'S KITTEN,KITTEN'S JOY,MULHOLLAND SPRINGS AGENT II,,,,,,,,,,,,OUT,,,,0,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,60,60,,,,,2/20/2022,1,DKB,C,,Y,,,KY,MUNNINGS,MUNNINGS,GUILTY VERDICT,GUILTY VERDICT,MEDAGLIA D'ORO,TAYLOR MADE SALES AGENCY AGENT XXXV,,,,,,,,,,,,WESLEY WARD,,,,260000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,62,62,,,,,5/23/2022,1,CH,C,,Y,,,KY,MUNNINGS,MUNNINGS,HADDIE BE GOOD,HADDIE BE GOOD,SILVER DEPUTY,TAYLOR MADE SALES AGENCY AGENT LVI,,,,,,,,,,,,LEGION BLOODSTOCK AGENT,,,,300000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,63,63,,,,,2/20/2022,1,B,F,,Y,,,KY,MCKINZIE,MCKINZIE,HARLAN'S HONOR,HARLAN'S HONOR,HARLAN'S HOLIDAY,ST GEORGE SALES AGENT II,,,,,,,,,,,,LAEL STABLE,,,,450000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,64,64,,,,,2/4/2022,1,GRR,C,,Y,,,KY,MEDAGLIA D'ORO,MEDAGLIA D'ORO,HAY FLO,HAY FLO,CAIRO PRINCE,TAYLOR MADE SALES AGENCY AGENT XC,,,,,,,,,,,,NOT SOLD,,,,275000,,,,,T,2022
